id,menunummer,menu_toevoeging,naam,price,soortgerecht,beschrijving
1,1,,Soep Ling Fa,3.8,SOEP,
2,2,,Kippensoep,2.9,SOEP,
3,3,,Tomatensoep,2.9,SOEP,
4,4,,Haaienvinnensoep,3.1,SOEP,
5,5,,Champignonsoep,3.3,SOEP,
6,6,,Pekingsoep,3.8,SOEP,
7,7,,Wan Tan Soep,4.3,SOEP,
8,8,,Chinese Champignonsoep,4.1,SOEP,
9,10,,Loempia Ling Fa,6.2,VOORGERECHT,"met atjar, ananas en pindasaus"
10,11,,Loempia Compleet,6.2,VOORGERECHT,met gesmoord rundvlees en pikante saus
11,12,,Loempia met Kip,3.9,VOORGERECHT,
12,13,,Loempia,3.8,VOORGERECHT,
13,14,,Chinese mini loempia,4.9,VOORGERECHT,4 st.
14,14,A,Vegetarische mini loempia,4.9,VOORGERECHT,12 st.
15,15,,Kroepoek,2.5,VOORGERECHT,
16,15,A,Casave Kroepoek,2.7,VOORGERECHT,
17,16,,Pangsit Goreng,3.9,VOORGERECHT,7 st.
18,17,,Pisang Goreng,3.4,VOORGERECHT,5 st.
19,18,,Chinese Dim Sum,5.4,VOORGERECHT,"mini loempia, kerry ko, pangsit goreng, garnalenpasteitje"
20,19,,Sat&eacute; Babi,5.4,VOORGERECHT,4 st.
21,20,,Sat&eacute; Ajam,5.4,VOORGERECHT,4 st.
22,20,A,Sat&eacute; Garnalen,9.9,VOORGERECHT,3 st.
23,21,,Fong Mei Ha,8.1,VOORGERECHT,krokant gepaneerd garnalen. 4 st.
24,22,,Patat,2.3,VOORGERECHT,
25,23,,Tsa Siu Mai,3.5,VOORGERECHT,gebakken vleespasteitje. 4 st.
26,24,,Atjar,3,VOORGERECHT,
27,25,,Witte Rijst,3,VOORGERECHT,
28,26,,Grote pindasaus,3.9,VOORGERECHT,
29,27,,Kleine pindasaus,2.3,VOORGERECHT,
30,28,,Kippenpootje,2.3,VOORGERECHT,
31,29,,Halve kip,6,VOORGERECHT,
32,29,H,Kroket,1.4,VOORGERECHT,
33,29,G,Frikandel,1.4,VOORGERECHT,
34,180,H,Kleine Sambal,2.5,VOORGERECHT,
35,30,,Bami of Nasi Goreng Ling Fa,14.3,BAMI EN NASI GERECHTEN,"Foe Yong Hai, Babi Pangang, sat&eacute; en kippenpootje"
36,31,,Bami of Nasi Goreng met ei,5,BAMI EN NASI GERECHTEN,
37,32,,Bami of Nasi Goreng speciaal,8.5,BAMI EN NASI GERECHTEN,
38,33,,Bami of Nasi Goreng met sat&eacute;,8.5,BAMI EN NASI GERECHTEN,3 st.
39,34,,Nasi Yeung Chow,10.9,BAMI EN NASI GERECHTEN,
40,34,A,Nasi Yeung Chow,13,BAMI EN NASI GERECHTEN,met garnaaltjes en Cha Sieuw-vlees
41,35,,Bami of Nasi Malay,9.3,BAMI EN NASI GERECHTEN,
42,36,,Bami of Nasi met kipfilet,9.3,BAMI EN NASI GERECHTEN,
43,37,,Bami of Nasi met varkensvlees,9.3,BAMI EN NASI GERECHTEN,
44,38,,Bami of Nasi met garnalen,14.3,BAMI EN NASI GERECHTEN,
45,39,,Bami of Nasi met ossenhaas,15.3,BAMI EN NASI GERECHTEN,
46,40,,"Babi Pangang, Foe Yong Hani en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
47,41,,"Babi Pangang, Tjap Tjoy en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
48,42,,"Babi Pangang, Koe Loe Yuk en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
49,43,,"Babi Pangang, Tau Sie Kai en sat&eacute;",16.5,COMBINATIE GERECHTEN (met witte rijst),
50,44,,"Koe Loe Yuk, Foe Yong Hai en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
51,45,,"Koe Loe Yuk, Tjap Tjoy en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
52,46,,"Foe Yong Hai, Tjap Tjoy en sat&eacute;",15.8,COMBINATIE GERECHTEN (met witte rijst),
53,47,,"Foe Yong Hai, Kip Kerrie en Sat&eacute;",16.5,COMBINATIE GERECHTEN (met witte rijst),
54,50,,Mihoen Ling Fa,16.4,MIHOEN GERECHTEN,"Foe Yong Hai, Babi Pangang, sat&eacute; en kippenpootje"
55,51,,Mihoen met varkensvlees,9.3,MIHOEN GERECHTEN,
56,52,,Mihoen met kipfilet,10.4,MIHOEN GERECHTEN,
57,53,,Mihoen met ossenhaas,16.4,MIHOEN GERECHTEN,
58,54,,Mihoen met garnalen,15.3,MIHOEN GERECHTEN,
